id_original,id_sospechoso,archivo_original,archivo_sospechoso,similitud,clasificacion,confianza
01513,01513,source-document01513.txt,suspicious-document01513.txt,0.7650854999473273,plagio,0.06034199978930932
01507,01507,source-document01507.txt,suspicious-document01507.txt,0.7558833935156246,plagio,0.023533574062498452
01506,01506,source-document01506.txt,suspicious-document01506.txt,0.769204743789208,plagio,0.076818975156832
01512,01512,source-document01512.txt,suspicious-document01512.txt,0.7638152224149181,plagio,0.05526088965967224
01504,01504,source-document01504.txt,suspicious-document01504.txt,0.7378784284279422,original,0.016162095429410495
01510,01510,source-document01510.txt,suspicious-document01510.txt,0.7344275758582902,original,0.02076323218894638
01538,01538,source-document01538.txt,suspicious-document01538.txt,0.7401393242044312,original,0.013147567727425091
01539,01539,source-document01539.txt,suspicious-document01539.txt,0.7439688058404922,original,0.008041592212677084
01511,01511,source-document01511.txt,suspicious-document01511.txt,0.7610208571186399,plagio,0.04408342847455948
01505,01505,source-document01505.txt,suspicious-document01505.txt,0.7538479903293573,plagio,0.01539196131742937
01529,01529,source-document01529.txt,suspicious-document01529.txt,0.748229021573295,original,0.0023613045689400147
01501,01501,source-document01501.txt,suspicious-document01501.txt,0.766358946120108,plagio,0.06543578448043208
01515,01515,source-document01515.txt,suspicious-document01515.txt,0.7596650791245868,plagio,0.038660316498347225
01514,01514,source-document01514.txt,suspicious-document01514.txt,0.7510585275161469,plagio,0.004234110064587515
01528,01528,source-document01528.txt,suspicious-document01528.txt,0.763005903756692,plagio,0.05202361502676789
01516,01516,source-document01516.txt,suspicious-document01516.txt,0.7405980854203642,original,0.01253588610618106
01502,01502,source-document01502.txt,suspicious-document01502.txt,0.7351164628144755,original,0.019844716247365946
01503,01503,source-document01503.txt,suspicious-document01503.txt,0.7444686940664935,original,0.007375074578008678
01517,01517,source-document01517.txt,suspicious-document01517.txt,0.7701910014491197,plagio,0.08076400579647869
01570,01570,source-document01570.txt,suspicious-document01570.txt,0.7653327028309518,plagio,0.06133081132380713
